L,W,VOR,VOL,Rdiff,Cdiff
248.68,248.68,111,111,7.26497,1650890
248.68,248.68,111,11,17.4521,1650890
248.68,248.68,111,4.525,18.1117,1650890
248.68,248.68,11,111,17.4521,1650890
248.68,248.68,11,11,27.6392,1650890
248.68,248.68,11,4.525,28.2988,1650890
248.68,248.68,4.685,111,18.0954,1650890
248.68,248.68,4.685,11,28.2825,1650890
248.68,248.68,4.685,4.525,28.9421,1650890
248.68,61,111,111,29.6173,405677
248.68,61,111,11,71.1473,405677
248.68,61,111,4.525,73.8364,405677
248.68,61,11,111,71.1473,405677
248.68,61,11,11,112.677,405677
248.68,61,11,4.525,115.366,405677
248.68,61,4.685,111,73.7699,405677
248.68,61,4.685,11,115.3,405677
248.68,61,4.685,4.525,117.989,405677
248.68,10,111,111,180.665,67111.1
248.68,10,111,11,433.999,67111.1
248.68,10,111,4.525,450.402,67111.1
248.68,10,11,111,433.999,67111.1
248.68,10,11,11,687.332,67111.1
248.68,10,11,4.525,703.735,67111.1
248.68,10,4.685,111,449.997,67111.1
248.68,10,4.685,11,703.33,67111.1
248.68,10,4.685,4.525,719.733,67111.1
100,248.68,82.125,4.525,3.51552,634109
100,248.68,11,75.65,3.51552,634109
100,248.68,11,11,10.1015,634109
100,248.68,11,4.525,10.7611,634109
100,248.68,4.685,81.965,3.51552,634109
100,248.68,4.685,11,10.7448,634109
100,248.68,4.685,4.525,11.4044,634109
100,61,82.125,4.525,14.3318,156267
100,61,11,75.65,14.3318,156267
100,61,11,11,41.181,156267
100,61,11,4.525,43.8701,156267
100,61,4.685,81.965,14.3318,156267
100,61,4.685,11,43.8036,156267
100,61,4.685,4.525,46.4927,156267
100,10,82.125,4.525,87.424,26224.1
100,10,11,75.65,87.424,26224.1
100,10,11,11,251.204,26224.1
100,10,11,4.525,267.607,26224.1
100,10,4.685,81.965,87.424,26224.1
100,10,4.685,11,267.202,26224.1
100,10,4.685,4.525,283.605,26224.1
50,248.68,32.125,4.525,2.71128,292174
50,248.68,11,25.65,2.71128,292174
50,248.68,11,11,4.20369,292174
50,248.68,11,4.525,4.8633,292174
50,248.68,4.685,31.965,2.71128,292174
50,248.68,4.685,11,4.84701,292174
50,248.68,4.685,4.525,5.50662,292174
50,61,32.125,4.525,11.0531,72391.8
50,61,11,25.65,11.0531,72391.8
50,61,11,4.525,19.8263,72391.8
50,61,4.685,31.965,11.0531,72391.8
50,61,4.685,11,19.7599,72391.8
50,61,4.685,4.525,22.449,72391.8
50,10,32.125,4.525,67.424,12474.1
50,10,11,25.65,67.424,12474.1
50,10,11,4.525,120.941,12474.1
50,10,4.685,31.965,67.424,12474.1
50,10,4.685,11,120.535,12474.1
50,10,4.685,4.525,136.939,12474.1
22.56,248.68,4.685,4.525,2.26991,104521
22.56,61,4.685,4.525,9.25377,26361.2
22.56,10,4.685,4.525,56.448,4928.09
50,61,11,11,17.1373,72391.8
50,10,11,11,104.537,12474.1
